cve_ent,entidad,cve_plantel,plantel,periodo_anual,Porcentaje_de_abandono_escolar
15,México,190,Nezahualcóyotl I,2022-2023,4.8
15,México,191,Nezahualcóyotl II,2022-2023,10.8
15,México,229,Nezahualcóyotl III,2022-2023,10.2
15,México,237,Nicolás Romero,2022-2023,11.2
15,México,79,Santiago Tianguistenco,2022-2023,7.2
15,México,126,Santiago Tilapa,2022-2023,10.6
15,México,238,Tecámac,2022-2023,13.9
15,México,80,Temoaya,2022-2023,5.4
15,México,185,Texcoco,2022-2023,10.1
15,México,193,Tlalnepantla I,2022-2023,10.9
15,México,228,Tlalnepantla II,2022-2023,18.2
15,México,231,Tlalnepantla III,2022-2023,7
15,México,34,Toluca,2022-2023,9.1
15,México,194,Tultitlán,2022-2023,9.3
15,México,13,Valle de Aragón,2022-2023,7.3
15,México,82,Villa Victoria,2022-2023,7.4
16,Michoacán de Ocampo,85,Apatzingán,2022-2023,13.7
16,Michoacán de Ocampo,256,Ciudad Hidalgo,2022-2023,12.7
16,Michoacán de Ocampo,87,La Piedad,2022-2023,9.7
16,Michoacán de Ocampo,35,Lázaro Cárdenas,2022-2023,11.9
16,Michoacán de Ocampo,180,Los Reyes,2022-2023,6.3
16,Michoacán de Ocampo,83,Morelia I,2022-2023,14.6
16,Michoacán de Ocampo,239,Morelia II,2022-2023,17.2
16,Michoacán de Ocampo,84,Pátzcuaro,2022-2023,12.6
16,Michoacán de Ocampo,167,Sahuayo,2022-2023,22.8
16,Michoacán de Ocampo,89,Uruapan,2022-2023,15.6
16,Michoacán de Ocampo,86,Zacapu,2022-2023,16.6
16,Michoacán de Ocampo,88,Zamora,2022-2023,13.9
16,Michoacán de Ocampo,240,Zitácuaro,2022-2023,12.7
17,Morelos,173,Cuautla,2022-2023,23.2
17,Morelos,241,Cuernavaca,2022-2023,19
17,Morelos,294,Jiutepec - Calera Chica,2022-2023,11
17,Morelos,36,Temixco,2022-2023,15.8
17,Morelos,283,Tepoztlán,2022-2023,21.9
18,Nayarit,311,Bahia de Banderas,2022-2023,18.6
18,Nayarit,257,Peñita de Jaltemba,2022-2023,15.9
18,Nayarit,169,Tepic,2022-2023,21.1
18,Nayarit,310,Tepic II,2022-2023,23.1
19,Nuevo León,332,Cadereyta Jiménez,2022-2023,17.8
19,Nuevo León,296,Don Benjamín Salinas Westrup,2022-2023,10.7
19,Nuevo León,290,Don Carlos Maldonado Elizondo,2022-2023,15.2
19,Nuevo León,242,Don Humberto Lobo Villarreal,2022-2023,19
19,Nuevo León,213,Don José María Hernández Martínez,2022-2023,22.8
19,Nuevo León,90,Don Protasio Rodríguez Cuéllar,2022-2023,22.4
19,Nuevo León,295,Don Víctor Gómez Garza,2022-2023,17.6
19,Nuevo León,135,Dr. Arroyo,2022-2023,14.6
19,Nuevo León,289,Dr. Carlos Canseco González,2022-2023,20.7
19,Nuevo León,123,Dr. Eduardo Macías Santos,2022-2023,10
19,Nuevo León,254,Ing. Adrián Sada Treviño,2022-2023,20.9
19,Nuevo León,91,Ing. Gustavo M. de la Garza Ortega,2022-2023,18.4
19,Nuevo León,37,Ing. José Antonio Padilla Segura I,2022-2023,14.4
19,Nuevo León,300,Joel Rocha Barocio,2022-2023,8.8
19,Nuevo León,314,José María Parás y Ballesteros,2022-2023,13.3
19,Nuevo León,333,Lic. Bárbara Herrera de Garza,2022-2023,14.3
19,Nuevo León,38,Lic. Raúl Rangel Frias,2022-2023,14.6
19,Nuevo León,157,Dr. Victor Bravo Ahuja-Tuxtepec,2022-2023,12.5
20,Oaxaca,145,Gral. Antonio de León,2022-2023,20.7
20,Oaxaca,243,Juchitán,2022-2023,13.8
20,Oaxaca,39,Oaxaca,2022-2023,21.1
20,Oaxaca,158,Puerto Escondido,2022-2023,22.1
20,Oaxaca,155,Salina Cruz,2022-2023,16.9
21,Puebla,93,Atencingo,2022-2023,12.5
21,Puebla,151,Calipam,2022-2023,9.4
21,Puebla,265,Chipilo,2022-2023,4.2
21,Puebla,152,Huauchinango,2022-2023,11.8
21,Puebla,40,Puebla I,2022-2023,10.4
21,Puebla,175,Puebla II,2022-2023,13
21,Puebla,261,Puebla III,2022-2023,14.9
21,Puebla,149,San Martín Texmelucan,2022-2023,14.4
21,Puebla,150,Tehuacán,2022-2023,15.1
21,Puebla,153,Teziutlán,2022-2023,4.5
22,Querétaro de Arteaga,328,Aeronáutico,2022-2023,10.4
22,Querétaro de Arteaga,280,Amealco,2022-2023,6.6
22,Querétaro de Arteaga,336,Querétaro,2022-2023,16
22,Querétaro de Arteaga,41,Querétaro II,2022-2023,12.9
22,Querétaro de Arteaga,42,San Juan del Rio,2022-2023,6.5
23,Quintana Roo,9,Cancún,2022-2023,7.7
23,Quintana Roo,286,Cancún II,2022-2023,4.5
23,Quintana Roo,298,Cancún III,2022-2023,7.2
23,Quintana Roo,339,Cancún IV,2022-2023,7.2
23,Quintana Roo,65,Cozumel,2022-2023,20.5
23,Quintana Roo,102,Felipe Carrillo Puerto,2022-2023,8
23,Quintana Roo,7,Lic. Jesús Martínez Ross - Chetumal,2022-2023,12.7
23,Quintana Roo,297,Playa del Carmen,2022-2023,7
24,San Luis Potosí,44,Ciudad Valles,2022-2023,9.1
24,San Luis Potosí,205,Ing. Manuel Moreno Torres S.L.P.,2022-2023,19.3
24,San Luis Potosí,43,Matehuala,2022-2023,9.3
24,San Luis Potosí,94,San Luis Potosí,2022-2023,17.6
24,San Luis Potosí,176,Villa de Reyes,2022-2023,9.2
25,Sinaloa,316,Culiacan III,2022-2023,14.5
25,Sinaloa,329,Culiacan IV,2022-2023,7.4
25,Sinaloa,116,El Carrizo,2022-2023,7
